臺灣 Taiwan,#genre#
CN卡通,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=momo1_twn
靖天卡通台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jingtiancartoon_twn
靖天國際台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=jingtianintl_twn
非凡新聞台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=feifannews_twn
龍祥時代,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lungxiangtime_twn
龍華偶像,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lunghuaidol_twn
龍華戲劇,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lunghuaxiju_twn
龍華洋片,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lunghuawestern_twn
龍華經典,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=lunghuajingdian_twn
龍華電影,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV1
TV1(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV1_backup
TV2,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV2
TV3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV3
TV3(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=tv3_twn
NTV7,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=NTV7
TV8,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV8
TV9,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TV9
Warna,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Warna-O
Warna(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Warna
Ria,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Ria-0
Ria(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Ria49
Ria-3,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Ria_quanjia
Al-Hijrah,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Alhijrah
Al-Hijrah(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Alhijrah_backup
Awani,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Awani
Bernama,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Bernama
Prima,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Prima-0
Prima(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Prima49
Ceria,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Ceria
Astro MTV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=AstroMTV
Mecca Live HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=quran_mido
Madinah HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=sunnah_mido
Oasis,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Oasis
HBO HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Hbo
HBO Signature,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Hbosignature
HBO Hits,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Hbohits
NatGeo Wild HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Natgeowild
Cartoon Network,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Cn
Nickelodeon,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Nickelodeon
Nick Jr,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Nickjr
Citra,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Citra
Sensasi,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Sensasi
Aura,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Aura
Rania,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Rania
Boo,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Boo
Awesome TV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Awesome_mega
Sony HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=SetOne
KBS World,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=KBS
TvN,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=TVN
Astro Premier,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Astropremier
AEC,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=AEC
華麗台 HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Wlt
歡喜台 HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Huahee
歡喜台(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Huahee_backup
Astro QJ,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Quanjia
TVB Jade,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvbjade
TVBS Asia,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvbasia
TVB Entertainment,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvbentertainment
TVB Classic,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvbclassic
AOD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=AodHD
One,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=One_mega
TVB 星河台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Xinhe
愛奇藝,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Qiyi
Animal Planet (Eng),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=AnimalPlanet
tvN Movie,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tvnmovie
CNN(備用),http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cnn_twn
Celestial Classic,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Celestial2
CNBC,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cnbc_twn
RTM Sports HD,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Rtmsport
TLC,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Tlc
CNA,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=cna
AFC 亞洲旅遊台,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=asiatravel_twn
BBC World News,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=bbcnews_twn
Foodnetwork Hd,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Foodnetwork_mega
HGTV,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=HGTV
Arena,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Arena
Goshop,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=Goshop
