湖北联通IPTV,#genre#
CCTV16HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226176/10000100000000060000000013492039_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D21+81XNt6WnEMww8dvWrpokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV17HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225871/10000100000000060000000003075841_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DXXS41YT1MIDWVuhMCLxbgokFTbj4rCw14DRUTelHCiM=:20220106103026,
CCTV5+HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225562/10000100000000060000000000007619_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DrGgQ91KMWnBKGl51mAFO+IkFTbj4rCw14DRUTelHCiM=:20220106103026,
CGTN,rtsp://122.191.50.135/PLTV/88888888/224/3221225535/10000100000000060000000000007512_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DtuNnsNWvRO2EgXT+6sZAlIkFTbj4rCw14DRUTelHCiM=:20220106103026,
CETV1HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225838/10000100000000060000000001790350_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DXmryYcD6qyuJWH+kCcAthYkFTbj4rCw14DRUTelHCiM=:20220106103026,
CETV2,rtsp://122.191.50.135/PLTV/88888888/224/3221226120/10000100000000060000000003313988_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DWrSJHU9TU9HD+Ko3BRNE5okFTbj4rCw14DRUTelHCiM=:20220106103026,
CETV4,rtsp://122.191.50.135/PLTV/88888888/224/3221226107/10000100000000060000000003293446_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DPoyn3zwInhjqBXYqtU080IkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225570/10000100000000060000000000015620_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D+bFi37WN3AZu2bDcUi/UjokFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225681/10000100000000060000000000404038_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DWHnMj5BmhHEHsgfDfCUkdYkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北经视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225684/10000100000000060000000000404037_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DlNeZN7RdO3z3PzG324I1q4kFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北垄上HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225678/10000100000000060000000000404044_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D9siSJ1Ncb3a2mOEgN9CMmIkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北公共HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225687/10000100000000060000000000404034_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DCitrs3AFVs2YNgFRpTqjuokFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北影视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226147/10000100000000060000000012157909_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DZb4MHDVuMznDACMeIjrwf4kFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北教育HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226121/10000100000000060000000012157908_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DlE+s5+iE0lqeJC56P50KcIkFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北生活HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226122/10000100000000060000000012157910_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DAFU13eLgj9Uk7FI/WOyRookFTbj4rCw14DRUTelHCiM=:20220106103026,
武汉新闻HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225862/10000100000000060000000003074787_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigey4pAr67Cr3+xCA2X6PHvV0P1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉电视剧HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225868/10000100000000060000000003074788_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyncAu2syTDR9LDH35t1U75/1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉经济,rtsp://122.191.50.135/PLTV/88888888/224/3221225808/10000100000000060000000001113493_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyYnzLkweNgFuW4ttNVmPZPf1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉文体HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225865/10000100000000060000000003074789_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigey94/3mGNjYNe/8tHSFzXwWP1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉外语,rtsp://122.191.50.135/PLTV/88888888/224/3221225717/10000100000000060000000001113482_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigey/5rn9Y78fDUiGUxmEQkbdf1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉少儿,rtsp://122.191.50.135/PLTV/88888888/224/3221225720/10000100000000060000000001113481_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6Gfcjigeye4hkSXe8d1lRQ2LInJsNov1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
武汉教育HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225726/10000100000000060000000001113479_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=Qp4+3gWj3vfSxaztdu7DgVME/G7aGqZkns7xKsEGVeHCFKSBU4DSDfn8Jf9sNExAlrFOodCf6JzVWcXOmXflaSQKyDMZ1bTMsdoG3z2DeR6Jo72WBhV7ipL6GfcjigeyB7FK7vnPtrqUhlRMN2gyrv1Hj8ACjfImqC3FxWFCcGI=:20210227131939,
黄冈新闻综合,rtsp://122.191.50.135/PLTV/88888888/224/3221226144/10000100000000060000000013076676_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DaPpcuhwEdQQFAUnzrbSEzYkFTbj4rCw14DRUTelHCiM=:20220106103026,
十堰新闻综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226139/10000100000000060000000004569960_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D8QupvspxfayYb5FFg8sUPokFTbj4rCw14DRUTelHCiM=:20220106103026,
十堰经济旅游HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226124/10000100000000060000000004569961_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DZj7Z6KkTj9v8yBDGJupfs4kFTbj4rCw14DRUTelHCiM=:20220106103026,
宜昌综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226138/10000100000000060000000013120072_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D5AuRYT1ULWSsIftWiWDfqYkFTbj4rCw14DRUTelHCiM=:20220106103026,
宜昌旅游HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226175/10000100000000060000000013120073_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DsKpknKKCuZlBhHq6JchFsIkFTbj4rCw14DRUTelHCiM=:20220106103026,
孝感新闻综合,rtsp://122.191.50.135/PLTV/88888888/224/3221225721/10000100000000060000000000177937_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Dg+VH4+q4++qKaRDEiHgqhYkFTbj4rCw14DRUTelHCiM=:20220106103026,
孝感生活,rtsp://122.191.50.135/PLTV/88888888/224/3221225724/10000100000000060000000000177938_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DK7DzObNULd647FTzhopBs4kFTbj4rCw14DRUTelHCiM=:20220106103026,
湖北卫视,rtsp://122.191.50.135/PLTV/88888888/224/3221226183/10000100000000060000000013243110_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Dm+2JC9FlDLBp+6cVbbmKlokFTbj4rCw14DRUTelHCiM=:20220106103026,
湖南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225561/10000100000000060000000000007637_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DQdlmpjUAd/OUA0Z2z8dz4IkFTbj4rCw14DRUTelHCiM=:20220106103026,
浙江卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225573/10000100000000060000000000015621_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D47Rhva7IXVnWa8ehI3RIVYkFTbj4rCw14DRUTelHCiM=:20220106103026,
江苏卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225604/10000100000000060000000000007634_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2D4B0zFvuCyOYCg8fgIHtZSokFTbj4rCw14DRUTelHCiM=:20220106103026,
东方卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225694/10000100000000060000000000015623_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DYyKRt0dT5uT5mVZakf1I1YkFTbj4rCw14DRUTelHCiM=:20220106103026,
北京卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225610/10000100000000060000000000007638_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Dre5pIfqpMjUiB44V0we4YokFTbj4rCw14DRUTelHCiM=:20220106103026,
广东卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225576/10000100000000060000000000015622_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Dg4VOBbRlK+/Avl4MMciVTokFTbj4rCw14DRUTelHCiM=:20220106103026,
深圳卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225598/10000100000000060000000000007635_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2DiyU1Eelgslz0koEpwbGWjokFTbj4rCw14DRUTelHCiM=:20220106103026,
黑龙江卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225595/10000100000000060000000000007636_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=kvRdRtVqokVkeXk3U8psVAsuTY+OgflQt4BiPWWLXbQ0ybcLSP/natFUZeRalHAgMhvmI/+aUOyzA9F/Z2JAiMB2HEYus4VibWE88qwjH9Cf/PCITiD2Rew7Db5iXv2Di26YYcj1YcrMvxUMBS217YkFTbj4rCw14DRUTelHCiM=:20220106103026,
