臺灣 Taiwan,#genre#
東森洋片,http://samuelwongvv.serv00.net/Smartv.php?id=ettvwestern
東森綜合,http://samuelwongvv.serv00.net/Smartv.php?id=ettvzhonghe
東森財經新聞,http://samuelwongvv.serv00.net/Smartv.php?id=ettvcaijing_twn
東森電影,http://samuelwongvv.serv00.net/Smartv.php?id=ettvmovie
緯來日本台,http://samuelwongvv.serv00.net/Smartv.php?id=videolandjapan
緯來體育台,http://samuelwongvv.serv00.net/Smartv.php?id=videolandsport
美亞電影,http://samuelwongvv.serv00.net/Smartv.php?id=meiyamovie_twn
BBC World News,http://samuelwongvv.serv00.net/Smartv.php?id=bbcnews_twn
Bloomberg News,http://samuelwongvv.serv00.net/Smartv.php?id=bloomberg_twn
Fox News,http://samuelwongvv.serv00.net/Smartv.php?id=foxnews_twn
阿里郎,http://samuelwongvv.serv00.net/Smartv.php?id=arirang_twn
CN卡通,http://samuelwongvv.serv00.net/Smartv.php?id=momo1_twn
靖天卡通台,http://samuelwongvv.serv00.net/Smartv.php?id=jingtiancartoon_twn
靖天國際台,http://samuelwongvv.serv00.net/Smartv.php?id=jingtianintl_twn
非凡新聞台,http://samuelwongvv.serv00.net/Smartv.php?id=feifannews_twn
龍祥時代,http://samuelwongvv.serv00.net/Smartv.php?id=lungxiangtime_twn
龍華偶像,http://samuelwongvv.serv00.net/Smartv.php?id=lunghuaidol_twn
龍華戲劇,http://samuelwongvv.serv00.net/Smartv.php?id=lunghuaxiju_twn
龍華洋片,http://samuelwongvv.serv00.net/Smartv.php?id=lunghuawestern_twn
龍華經典,http://samuelwongvv.serv00.net/Smartv.php?id=lunghuajingdian_twn
龍華電影,http://samuelwongvv.serv00.net/Smartv.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://samuelwongvv.serv00.net/Smartv.php?id=TV1
TV1(備用),http://samuelwongvv.serv00.net/Smartv.php?id=TV1_backup
TV2,http://samuelwongvv.serv00.net/Smartv.php?id=TV2
TV3,http://samuelwongvv.serv00.net/Smartv.php?id=TV3
TV3(備用),http://samuelwongvv.serv00.net/Smartv.php?id=tv3_twn
NTV7,http://samuelwongvv.serv00.net/Smartv.php?id=NTV7
TV8,http://samuelwongvv.serv00.net/Smartv.php?id=TV8
TV9,http://samuelwongvv.serv00.net/Smartv.php?id=TV9
Warna,http://samuelwongvv.serv00.net/Smartv.php?id=Warna-O
Warna(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Warna
Ria,http://samuelwongvv.serv00.net/Smartv.php?id=Ria-0
Ria(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Ria49
Ria-3,http://samuelwongvv.serv00.net/Smartv.php?id=Ria_quanjia
Al-Hijrah,http://samuelwongvv.serv00.net/Smartv.php?id=Alhijrah
Al-Hijrah(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Alhijrah_backup
Awani,http://samuelwongvv.serv00.net/Smartv.php?id=Awani
Bernama,http://samuelwongvv.serv00.net/Smartv.php?id=Bernama
Prima,http://samuelwongvv.serv00.net/Smartv.php?id=Prima-0
Prima(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Prima49
Ceria,http://samuelwongvv.serv00.net/Smartv.php?id=Ceria
Astro MTV,http://samuelwongvv.serv00.net/Smartv.php?id=AstroMTV
Mecca Live HD,http://samuelwongvv.serv00.net/Smartv.php?id=quran_mido
Madinah HD,http://samuelwongvv.serv00.net/Smartv.php?id=sunnah_mido
Oasis,http://samuelwongvv.serv00.net/Smartv.php?id=Oasis
HBO HD,http://samuelwongvv.serv00.net/Smartv.php?id=Hbo
HBO Signature,http://samuelwongvv.serv00.net/Smartv.php?id=Hbosignature
HBO Hits,http://samuelwongvv.serv00.net/Smartv.php?id=Hbohits
NatGeo Wild HD,http://samuelwongvv.serv00.net/Smartv.php?id=Natgeowild
Cartoon Network,http://samuelwongvv.serv00.net/Smartv.php?id=Cn
Nickelodeon,http://samuelwongvv.serv00.net/Smartv.php?id=Nickelodeon
Nick Jr,http://samuelwongvv.serv00.net/Smartv.php?id=Nickjr
Citra,http://samuelwongvv.serv00.net/Smartv.php?id=Citra
Sensasi,http://samuelwongvv.serv00.net/Smartv.php?id=Sensasi
Aura,http://samuelwongvv.serv00.net/Smartv.php?id=Aura
Rania,http://samuelwongvv.serv00.net/Smartv.php?id=Rania
Boo,http://samuelwongvv.serv00.net/Smartv.php?id=Boo
Awesome TV,http://samuelwongvv.serv00.net/Smartv.php?id=Awesome_mega
Sony HD,http://samuelwongvv.serv00.net/Smartv.php?id=SetOne
KBS World,http://samuelwongvv.serv00.net/Smartv.php?id=KBS
TvN,http://samuelwongvv.serv00.net/Smartv.php?id=TVN
Astro Premier,http://samuelwongvv.serv00.net/Smartv.php?id=Astropremier
AEC,http://samuelwongvv.serv00.net/Smartv.php?id=AEC
華麗台 HD,http://samuelwongvv.serv00.net/Smartv.php?id=Wlt
歡喜台 HD,http://samuelwongvv.serv00.net/Smartv.php?id=Huahee
歡喜台(備用),http://samuelwongvv.serv00.net/Smartv.php?id=Huahee_backup
Astro QJ,http://samuelwongvv.serv00.net/Smartv.php?id=Quanjia
TVB Jade,http://samuelwongvv.serv00.net/Smartv.php?id=Tvbjade
TVBS Asia,http://samuelwongvv.serv00.net/Smartv.php?id=Tvbasia
TVB Entertainment,http://samuelwongvv.serv00.net/Smartv.php?id=Tvbentertainment
TVB Classic,http://samuelwongvv.serv00.net/Smartv.php?id=Tvbclassic
AOD,http://samuelwongvv.serv00.net/Smartv.php?id=AodHD
One,http://samuelwongvv.serv00.net/Smartv.php?id=One_mega
TVB 星河台,http://samuelwongvv.serv00.net/Smartv.php?id=Xinhe
愛奇藝,http://samuelwongvv.serv00.net/Smartv.php?id=Qiyi
Animal Planet (Eng),http://samuelwongvv.serv00.net/Smartv.php?id=AnimalPlanet
tvN Movie,http://samuelwongvv.serv00.net/Smartv.php?id=Tvnmovie
CNN(備用),http://samuelwongvv.serv00.net/Smartv.php?id=cnn_twn
Celestial Classic,http://samuelwongvv.serv00.net/Smartv.php?id=Celestial2
CNBC,http://samuelwongvv.serv00.net/Smartv.php?id=cnbc_twn
RTM Sports HD,http://samuelwongvv.serv00.net/Smartv.php?id=Rtmsport
TLC,http://samuelwongvv.serv00.net/Smartv.php?id=Tlc
CNA,http://samuelwongvv.serv00.net/Smartv.php?id=cna
AFC 亞洲旅遊台,http://samuelwongvv.serv00.net/Smartv.php?id=asiatravel_twn
BBC World News,http://samuelwongvv.serv00.net/Smartv.php?id=bbcnews_twn
Foodnetwork Hd,http://samuelwongvv.serv00.net/Smartv.php?id=Foodnetwork_mega
HGTV,http://samuelwongvv.serv00.net/Smartv.php?id=HGTV
Arena,http://samuelwongvv.serv00.net/Smartv.php?id=Arena
Goshop,http://samuelwongvv.serv00.net/Smartv.php?id=Goshop
Celestial Movies HD,http://samuelwongvv.serv00.net/Smartv.php?id=Celestial_mega
Arena 2,http://samuelwongvv.serv00.net/Smartv.php?id=Arena2
Axn HD,http://samuelwongvv.serv00.net/Smartv.php?id=Axn
Paramount Network,http://samuelwongvv.serv00.net/Smartv.php?id=Paramountnetwork
BolaArena 1,http://samuelwongvv.serv00.net/Smartv.php?id=Bolaarena1
